city,city_ascii,state_id,state_name,county_fips,county_name,lat,lng
Haworth,Haworth,NJ,New Jersey,34003,Bergen,40.9622,-73.9976
Dilley,Dilley,TX,Texas,48163,Frio,28.6675,-99.1765
Lake Park,Lake Park,NC,North Carolina,37179,Union,35.0849,-80.6349
Union Springs,Union Springs,AL,Alabama,1011,Bullock,32.1395,-85.7141
Nesquehoning,Nesquehoning,PA,Pennsylvania,42025,Carbon,40.866,-75.8322
Lake Cherokee,Lake Cherokee,TX,Texas,48401,Rusk,32.3569,-94.6513
Hartford,Hartford,SD,South Dakota,46099,Minnehaha,43.621,-96.9424
Lewes,Lewes,DE,Delaware,10005,Sussex,38.7776,-75.145
Ossian,Ossian,IN,Indiana,18179,Wells,40.877,-85.1683
Ocilla,Ocilla,GA,Georgia,13155,Irwin,31.5987,-83.2498
Avery Creek,Avery Creek,NC,North Carolina,37021,Buncombe,35.4651,-82.5719
SUNY Oswego,SUNY Oswego,NY,New York,36075,Oswego,43.4515,-76.5439
Johnson Creek,Johnson Creek,WI,Wisconsin,55055,Jefferson,43.0812,-88.7702
Gallipolis,Gallipolis,OH,Ohio,39053,Gallia,38.8186,-82.1934
Welsh,Welsh,LA,Louisiana,22053,Jefferson Davis,30.2355,-92.8135
Morada,Morada,CA,California,6077,San Joaquin,38.0386,-121.2456
Groveville,Groveville,NJ,New Jersey,34021,Mercer,40.1679,-74.6523
Harvey,Harvey,MI,Michigan,26103,Marquette,46.4832,-87.3569
Salem Heights,Salem Heights,OH,Ohio,39061,Hamilton,39.0658,-84.384
Helemano,Helemano,HI,Hawaii,15003,Honolulu,21.5362,-158.0194
Williamsburg,Williamsburg,IA,Iowa,19095,Iowa,41.6683,-92.0103
Grasonville,Grasonville,MD,Maryland,24035,Queen Anne's,38.9559,-76.1947
Wellford,Wellford,SC,South Carolina,45083,Spartanburg,34.962,-82.0937
Liberty,Liberty,SC,South Carolina,45077,Pickens,34.7904,-82.6961
